eī	e&imacron-ni;
ī	&imacron-in;
q̄	&qmacron-que;
r̄s	&rmacron-re;s
r̄r	&rmacron-ier;r
eōs	e&omacron-no;s
ē	&emacron-en;
ōm	&otildem-om;
łł	&deuxlbarre-ller;
lł	l&lbarre-ler;
pło	pitulo
p̀	paccute-pri
ꝺ	&doblique-d;
ſ	&slong-s;
b̈	&btrema-bra;
ꝑſ	&pbarre-per;ſ
ꝑf	&pbarre-per;f
ꝑo	&pbarre-per;o
ꝑ	&pbarre-par;
ꞇ	&insulart-t;
n̄	&nbarre-n;
pħo	&phobarre-philosofo;
dła	&doblique-d;&lbarre-el;a
ꝺł	&doblique-d;&lbarre-el;
ủ	&ucrochet-uer;
z̉	&zcrochet-zer;
s̉	&scrochet-ser;
tp̄o	&tpo-tiempo;
ꞇ̉	&insulartcrochet-ter;
t̉	&tcrochet-ter;
c̉	&ccrochet-cer;
ꞇ̈	&insularttrema-tra;
ħ	&hbarre-ho;
n̉	&ncrochet-ner;
m̉	&mcrochet-mer;
ꝺ᷑	&dobliqueur-dur;
tḧs	t&htrema-hicas;
ḧ	&htrema-ha;
q̈	&qtrema_qua;
p᷎	&pcrochet-pre;
pᷰ	&puexposant-pru;
b̄	&bbarre-ber;
ꝓ	&pflourish-pro;
ẏ	&ypoint-y;
aᷤ	&asexp-as;
g̉	&gcrochet-ger;
ẻ	&ecrochet-er;
z̀	&zaccute-zir;
q̀	&qaccute-qui;
g̈	&gtrema-gra;
ꝛ	&rrotunda-r;
g̀	&gaccute-gri;
s̄	&smacron-es;
g᷑	&gur-gur;
