eī	e&imacron-ni;
r̄s	&rmacron-re;s
r̄r	&rmacron-ier;r
eōs	e&omacron-no;s
m̄ē	&memacron-mme;
ōm	&otildem-om;
m̄s	&mmacron-me;s
łł	&deuxlbarre-ller;
lł	l&lbarre-ler;
pło	&pitulo;
ī	&imacron-in;
ē	&emacron-en;
ā	&amacron-an;
ū	&umacron-un;
ō	&omacron-on;
q̄	&qmacron-que;
⁊	&e-e;
p̀	&paccute-pri;
ſ	&slong-s;
g̈	&gtrema-guna;
b̈	&btrema-bra;
ꝑſ	&pbarre-per;ſ
ꝑf	&pbarre-per;f
ꝑo	&pbarre-per;o
ꝑi	&pbarre-per;i
ꝑ	&pbarre-par;
n̄	&nbarre-n;
pħo	&phobarre-philosofo;
ꝺł	&doblique-d;&lbarre-el;
ꝺła	&doblique-d;&lbarre-el;a
ꝺłas	&doblique-d;&lbarre-el;as
ꝺłos	&doblique-d;&lbarre-el;os
ủ	&ucrochet-uer;
z̉	&zcrochet-zer;
s̉	&scrochet-ser;
tp̄o	&tpo-tiempo;
c̀	&caccute-cri;
t̊	&trond-tro;
ꞇ̊	&insulartrond-tro;
ꞇ̉	&insulartcrochet-ter;
t̉	&tcrochet-ter;
c̉	&ccrochet-cer;
ꝺ̉	&dcrochet-der;
ꞇ̈	&insularttrema-tra;
ꞇ	&insulart-t;
ħ	&hbarre-ho;
n̉	&ncrochet-ner;
m̉	&mcrochet-mer;
ꝺ᷑	&dobliqueur-dur;
ꝺ	&doblique-d;
tḧs	t&htrema-hicas;
ḧ	&htrema-ha;
q̈	&qtrema_qua;
p᷎	&pcrochet-pre;
pᷰ	&puexposant-pru;
r̈	&rtrema-ra;
b̄	&bbarre-ber;
ꝓ	&pflourish-pro;
ẏ	&ypoint-y;
aᷤ	&asexp-as;
g̉	&gcrochet-ger;
ẻ	&ecrochet-er;
z̀	&zaccute-zir;
q̀	&qaccute-qui;
g̈	&gtrema-gra;
ꝛ	&rrotunda-r;
g̀	&gaccute-gri;
s̄	&smacron-es;
g᷑	&gur-gur;
