,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,ø,ø,ø,ø,ø,ø,obra,ø,1,,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,ø,la,ø,1,,Non, Non,,0,0,0,0,0,0,2,0
,ø,ø,ø,ø,ø,A,ø,ø,1,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,en,ø,ø,en,ø,ø,en,1,traduction,Non, Non,,0,1,0,0,1,0,0,1
,los,los,los,los,los,dos,los,ø,1,traduction,Non, Non,,2,2,2,2,2,1,2,0
,parte,parte,parte,parte,ø,parte,parte,parte,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ha,ha,ha,ha,ha,ø,ha,ha,1,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ya,ø,ya,ya,ø,ø,ya,ø,1,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,ya,ø,ø,ø,ya,ø,ya,1,traduction,Non, Non,,0,2,0,0,0,2,0,2
,de,de,de,de,ø,de,de,de,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,que,que,ø,que,que,que,que,1,glose,Non, Non,,0,1,1,0,1,1,1,1
,prima,i,prima,prima,ø,primera,prima,primera,1,glose,Non, Non,,4,2,4,4,0,3,4,3
,ø,ø,ø,ø,ø,deven,ø,ø,1,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,de,ø,ø,de,ø,ø,ø,1,glose,Non, Non,,0,1,0,0,1,0,0,0
,para,para,para,para,ø,para,para,para,1,glose,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,que,ø,ø,ø,ø,ø,1,glose,Non, Non,,0,0,2,0,0,0,0,0
,ø,ø,en,ø,ø,ø,ø,ø,1,glose,Non, Non,,0,0,2,0,0,0,0,0
,dicho,dicho,dicho,ø,dicho,dicho,dicho,dicho,1,glose,Non, Non,,1,1,1,0,1,1,1,1
,ø,en,ø,ø,en,en,ø,ø,1,glose,Non, Non,,0,1,0,0,1,1,0,0
,ø,ø,ø,ø,ø,epístola,ø,ø,1,glose,Non, Non,,0,0,0,0,0,2,0,0
,que,ø,que,que,ø,que,que,que,1,glose,Non, Non,,2,0,2,2,0,2,2,2
,que,que,que,que,ø,que,que,ø,1,glose,Non, Non,,2,2,2,2,0,2,2,0
,en,en,ø,en,en,en,en,ø,1,glose,Non, Non,,1,1,0,1,1,1,1,0
,ø,ø,ø,ø,ø,ø,ø,la,1,glose,Non, Non,,0,0,0,0,0,0,0,2
,ø,se,ø,ø,se,ø,ø,ø,1,glose,Non, Non,,0,1,0,0,1,0,0,0
,a,ø,a,a,ø,ø,a,ø,1,glose,Non, Non,,2,0,2,2,0,0,2,0
,victoria,cabsa,ø,vençimiento,causa,ø,vitoria,ø,1,glose,Non, Non,,2,4,0,3,4,0,2,0
,ø,ø,ø,ø,ø,Olifernes,ø,ø,1,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,dios,ø,ø,1,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,el,el,el,el,el,el,el,1,glose,Non, Non,,0,1,1,1,1,1,1,1
,vos,ø,vos,vos,ø,ø,vos,ø,1,glose,Non, Non,,2,0,2,2,0,0,2,0
,ø,ø,ø,ø,ø,de,ø,de,1,glose,Non, Non,,0,0,0,0,0,2,0,2
,ø,el,ø,ø,el,el,ø,ø,1,glose,Non, Non,,0,1,0,0,1,1,0,0
,al,ø,al,ø,ø,ø,al,ø,1,glose,Non, Non,,2,0,2,0,0,0,2,0
,ø,el,ø,el,el,el,ø,el,1,glose,Non, Non,,0,1,0,1,1,1,0,1
,ø,ø,ø,ø,ø,ø,ø,sy,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,es,ø,ø,ø,ø,ø,1,traduction,Non, Non,,0,0,2,0,0,0,0,0
,ø,la,la,ø,ø,la,ø,ø,1,traduction,Non, Non,,0,2,2,0,0,2,0,0
,ø,ø,ø,de,ø,ø,ø,ø,1,traduction,Non, Non,,0,0,0,2,0,0,0,0
,arte,obra,arte,arte,obra,arte,arte,ø,1,traduction,Non, Non,,3,1,3,3,1,3,3,0
,ø,ø,ø,ø,et,ø,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,primero,ø,conclusión,ø,ø,1,traduction,Non, Non,,0,0,0,3,0,1,0,0
,primera,primera,primera,ø,primera,primera,primera,primera,1,traduction,Non, Non,,1,1,1,0,1,1,1,1
,de,de,ø,de,de,de,de,de,1,traduction,Non, Non,,1,1,0,1,1,1,1,1
,de,de,de,de,de,de,de,ø,1,traduction,Non, Non,,1,1,1,1,1,1,1,0
,se,ø,se,se,se,se,se,ø,1,traduction,Non, Non,,1,0,1,1,1,1,1,0
,de,ø,de,de,ø,ø,de,de,1,traduction,Non, Non,,2,0,2,2,0,0,2,2
,ø,ø,ø,ø,ø,ø,ø,otras,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,que,que,que,que,que,ø,que,que,1,traduction,Non, Non,,1,1,1,1,1,0,1,1
,su,su,su,su,ø,su,su,su,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,et,ø,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,0,0,0
,la,la,la,la,la,ø,la,ø,1,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,ø,ø,ø,s,ø,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,0,0,0
,la,la,la,la,la,ø,la,la,1,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ø,a,ø,a,1,traduction,Non, Non,,0,0,0,0,0,2,0,2
,ø,ø,ø,ø,ø,a,ø,a,1,traduction,Non, Non,,0,0,0,0,0,2,0,2
,en,en,en,en,ø,en,en,en,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,a,a,ø,a,a,a,a,a,1,traduction,Non, Non,,1,1,0,1,1,1,1,1
,ø,la,ø,ø,la,ø,ø,ø,1,traduction,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,ø,ø,ø,la,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,persona,ø,persona,persona,ø,ø,persona,persona,1,traduction,Non, Non,,2,0,2,2,0,0,2,2
,ø,sola,ø,ø,sola,sola,ø,sola,1,traduction,Non, Non,,0,1,0,0,1,1,0,1
,de,de,ø,de,de,de,de,de,1,traduction,Non, Non,,1,1,0,1,1,1,1,1
,mayor,ø,mayor,mayor,ø,ø,mayor,ø,1,traduction,Non, Non,,2,0,2,2,0,0,2,0
,ø,el,ø,ø,el,es,ø,es,1,traduction,Non, Non,,0,2,0,0,2,1,0,1
,ø,ø,ø,ø,de,ø,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,0,0,0
,mayor,mayor,mayor,mayor,ø,mayor,mayor,mayor,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,ø,ø,ø,menester,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,ø,ø,ø,más,ø,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,0,0,0
,por,ø,por,por,por,por,por,por,1,traduction,Non, Non,,1,0,1,1,1,1,1,1
,tanto,ø,tanto,tanto,tanto,ø,tanto,ø,1,traduction,Non, Non,,1,0,1,1,1,0,1,0
,de,de,de,ø,de,de,de,de,1,traduction,Non, Non,,1,1,1,0,1,1,1,1
,ø,tanto,ø,ø,ø,tanto,ø,tanto,1,traduction,Non, Non,,0,2,0,0,0,2,0,2
,ø,ø,ø,ø,ø,ø,ø,mostró,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,mostro,mostró,mostró,mostró,amostró,mostró,mostro,ø,1,traduction,Non, Non,,3,3,3,3,2,3,3,0
,e,e,e,e,e,ø,e,ø,1,traduction,Non, Non,,1,1,1,1,1,0,1,0
,ø,el,el,el,el,el,el,el,1,traduction,Non, Non,,0,1,1,1,1,1,1,1
,a,ø,a,ø,ø,ø,a,a,1,traduction,Non, Non,,2,0,2,0,0,0,2,2
,de,de,de,de,de,de,de,ø,1,traduction,Non, Non,,1,1,1,1,1,1,1,0
,ø,le,ø,ø,le,le,ø,ø,1,traduction,Non, Non,,0,1,0,0,1,1,0,0
,poner,poner,poner,poner,poner,ø,poner,poner,1,traduction,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ø,ø,ø,e,1,traduction,Non, Non,,0,0,0,0,0,0,0,2
,ø,se,ø,ø,ø,ø,ø,él,1,traduction,Non, Non,,0,1,0,0,0,0,0,3
,ser,ø,ser,ser,ser,ser,ser,ser,1,traduction,Non, Non,,1,0,1,1,1,1,1,1
,ø,e,ø,ø,e,ø,ø,ø,1,traduction,Non, Non,,0,1,0,0,1,0,0,0
,que,ø,que,que,ha,ø,que,ø,1,traduction,Non, Non,,2,0,2,2,3,0,2,0
,non,non,non,non,ø,non,non,non,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,es,ø,es,es,asi,ø,es,ø,1,traduction,Non, Non,,2,0,2,2,1,0,2,0
,menester,menester,menester,menester,ø,menester,menester,menester,1,traduction,Non, Non,,2,2,2,2,0,2,2,2
,ø,ø,ø,ø,la,la,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,1,0,0
,ø,ø,ø,ø,ø,e,ø,ø,1,traduction,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,se,se,ø,ø,1,traduction,Non, Non,,0,0,0,0,1,1,0,0
,es,es,es,es,es,ø,es,es,1,traduction,Non, Non,,1,1,1,1,1,0,1,1
,se,ø,ø,se,ø,ø,se,se,1,traduction,Non, Non,,2,0,0,2,0,0,2,2
,de,de,de,de,de,de,ø,de,1,traduction,Non, Non,,1,1,1,1,1,1,0,1
,se,ø,ø,se,se,se,se,ø,1,traduction,Non, Non,,1,0,0,1,1,1,1,0
,tal,governamiento,tal,tal,tal,ø,tal,ø,1,traduction,Non, Non,,1,2,1,1,1,0,1,0
