,A,B,G,J,Q,R,Z,U
1,2,1,2,1,1,1,1,1
2,2,1,2,2,1,2,2,2
3,2,1,2,2,1,1,2,1
4,1,1,1,1,1,2,1,2
5,1,1,1,1,1,2,1,2
6,1,2,1,1,2,1,1,3
7,1,1,1,1,1,2,1,2
8,1,2,1,1,2,2,1,2
9,1,2,3,3,3,3,3,3
10,2,1,2,1,3,2,2,2
11,1,2,1,1,2,1,1,1
12,2,1,1,2,1,2,2,2
13,1,2,1,1,2,2,1,1
14,2,1,2,2,1,2,2,2
15,1,1,1,1,1,2,1,2
16,2,2,2,2,2,1,2,1
17,1,2,1,2,2,3,2,2
18,1,2,1,1,3,2,1,1
19,2,3,2,2,1,1,2,0
20,1,3,1,1,3,4,1,2
21,1,1,1,1,1,2,1,2
22,1,3,1,1,3,2,1,2
23,1,2,2,0,0,2,2,2
24,1,1,1,1,1,2,1,2
25,1,2,1,1,3,1,1,1
26,2,1,2,2,1,2,2,2
27,1,1,1,1,1,2,1,2
28,1,1,1,1,1,2,1,2
29,3,1,3,3,2,2,3,2
30,1,1,1,1,1,2,1,2
31,1,1,1,2,0,1,1,1
32,3,3,3,3,3,2,1,2
33,1,1,2,1,1,3,1,3
34,4,1,4,2,3,4,4,2
35,1,1,1,1,1,2,1,2
36,1,2,1,1,2,1,1,1
37,2,1,2,2,1,1,2,1
38,2,1,2,2,1,2,2,2
39,2,2,2,2,2,1,2,1
40,1,1,2,1,2,1,1,3
41,2,3,2,2,2,1,2,2
42,1,1,1,1,1,2,1,2
43,2,1,2,2,1,2,2,2
44,2,1,2,2,1,2,2,2
45,1,1,1,1,1,2,1,2
46,3,1,3,3,1,2,3,2
47,1,2,1,1,2,2,1,2
48,2,1,2,2,1,2,2,2
49,2,1,2,2,1,2,2,2
50,3,3,3,3,2,3,3,1
51,1,1,0,1,1,2,1,NA
52,1,1,1,1,3,2,1,NA
53,3,2,3,3,2,1,3,NA
54,1,1,1,1,2,2,1,NA
55,3,1,1,1,2,1,1,NA
56,2,1,2,2,1,NA,2,NA
57,4,2,4,4,3,NA,1,NA
58,2,1,2,2,1,2,2,NA
59,4,1,2,2,1,3,4,NA
60,1,2,1,1,2,1,1,NA
61,2,1,2,2,1,3,2,NA
62,2,1,2,2,1,1,2,NA
63,2,3,2,2,1,3,2,NA
64,2,1,2,1,1,1,2,NA
65,2,1,2,2,1,2,2,NA
66,1,2,1,1,2,2,1,NA
67,1,2,1,1,2,0,1,NA
68,2,1,2,2,1,2,2,NA
69,2,1,2,2,1,2,2,NA
70,2,1,2,2,1,1,2,NA
71,1,2,1,1,2,2,1,NA
72,2,1,0,2,0,2,2,NA
73,1,2,1,1,0,1,1,NA
74,3,3,2,2,1,4,2,NA
75,2,1,2,2,1,1,2,NA
76,1,3,2,1,3,1,1,NA
77,2,1,2,2,1,2,2,NA
78,2,1,2,2,1,2,2,NA
79,2,3,3,2,2,1,3,NA
80,0,1,1,1,0,2,1,NA
81,2,2,2,2,0,1,2,NA
82,2,2,2,2,1,1,2,NA
83,2,1,2,2,1,1,2,NA
84,2,1,3,3,1,1,2,NA
85,1,1,2,1,1,2,1,NA
86,3,3,3,1,3,2,3,NA
87,2,1,2,2,1,1,2,NA
88,2,1,2,2,1,2,2,NA
89,2,1,2,2,1,2,2,NA
90,2,1,2,2,1,2,2,NA
91,3,1,3,3,1,3,3,NA
92,3,1,3,3,1,2,3,NA
93,2,1,2,2,0,2,2,NA
94,2,2,2,0,1,3,2,NA
95,2,1,2,2,1,2,2,NA
96,2,1,2,2,1,1,2,NA
97,2,2,2,1,2,1,2,NA
98,2,2,2,2,1,3,2,NA
99,1,2,0,1,2,1,1,NA
100,1,2,1,1,2,1,1,NA
101,2,3,1,3,3,3,2,NA
102,1,2,1,1,2,1,1,NA
103,1,3,2,1,3,1,1,NA
104,1,2,1,1,2,1,1,NA
105,1,2,1,1,2,1,1,NA
106,2,1,2,2,1,1,2,NA
107,2,3,2,3,3,1,3,NA
108,2,1,2,2,1,2,2,NA
109,2,2,2,1,2,1,2,NA
110,2,1,2,2,1,2,2,NA
111,2,1,2,2,1,2,2,NA
112,1,2,1,1,2,1,1,NA
113,1,2,1,1,2,3,1,NA
114,2,1,2,2,1,2,2,NA
115,1,2,1,1,2,1,1,NA
116,2,1,2,2,1,2,2,NA
117,1,2,1,1,2,0,1,NA
118,3,3,3,1,2,3,3,NA
119,1,1,1,1,3,2,1,NA
120,5,1,5,2,3,4,5,NA
121,3,3,2,1,3,3,3,NA
122,3,3,3,2,3,1,3,NA
123,2,1,2,2,1,2,2,NA
124,3,2,3,3,1,3,3,NA
125,2,2,3,2,1,2,2,NA
126,1,1,2,1,1,2,1,NA
127,1,2,1,1,0,1,1,NA
128,2,1,2,2,1,2,2,NA
129,2,1,2,2,1,2,2,NA
130,1,2,1,1,2,1,1,NA
131,2,1,2,2,1,2,2,NA
132,2,2,2,2,3,3,1,NA
133,2,2,1,3,0,2,2,NA
134,2,2,2,2,1,3,2,NA
135,1,2,2,1,1,3,1,NA
136,1,1,1,3,2,3,1,NA
137,1,3,1,1,3,2,1,NA
138,2,3,1,1,4,1,2,NA
139,1,0,2,1,0,1,1,NA
140,2,1,2,2,1,2,2,NA
141,1,2,1,1,2,1,1,NA
142,2,1,2,2,1,2,2,NA
143,0,2,0,0,1,0,0,NA
144,0,1,0,0,2,0,0,NA
145,0,2,0,0,1,0,0,NA
146,0,2,0,0,1,0,0,NA
147,0,2,0,0,1,0,0,NA
148,0,2,0,0,1,0,0,NA
149,0,1,0,0,2,0,0,NA
150,0,1,0,0,2,0,0,NA
151,0,2,0,0,1,0,0,NA
152,0,2,0,0,1,0,0,NA
153,0,2,0,0,1,0,0,NA
154,0,1,0,0,2,0,0,NA
155,0,1,0,0,2,0,0,NA
156,0,2,0,0,1,0,0,NA
157,0,2,0,0,1,0,0,NA
158,0,2,0,0,1,0,0,NA
159,0,1,0,0,2,0,0,NA
160,0,1,0,0,2,0,0,NA
161,0,2,0,0,1,0,0,NA
162,4,4,4,4,1,2,3,NA
163,3,1,1,1,1,2,1,NA
164,2,1,2,2,1,1,2,NA
165,2,1,2,2,1,2,2,NA
166,2,2,2,2,0,1,2,NA
167,2,2,0,2,2,1,2,NA
168,2,1,2,2,1,2,2,NA
169,2,0,1,2,0,2,2,NA
170,1,0,2,1,0,1,1,NA
171,2,0,1,2,0,2,2,NA
172,2,2,2,2,1,1,2,NA
173,2,1,2,2,1,2,2,NA
174,1,1,1,2,1,2,1,NA
175,4,1,4,2,3,2,0,NA
176,2,1,2,2,1,2,2,NA
177,1,1,3,3,2,1,1,NA
178,2,1,1,2,1,2,2,NA
179,3,2,1,3,2,4,3,NA
180,1,2,1,1,2,1,1,NA
181,2,3,2,2,1,2,2,NA
182,1,2,NA,1,2,1,1,NA
183,2,1,NA,1,1,1,2,NA
184,1,2,NA,2,2,2,1,NA
185,2,1,2,2,1,2,2,NA
186,2,2,2,1,2,1,1,NA
187,2,1,2,2,1,2,2,NA
188,2,1,2,3,1,2,2,NA
189,2,1,2,2,1,2,2,NA
190,2,1,2,2,1,2,2,NA
191,2,1,1,2,1,2,2,NA
192,1,2,1,2,2,2,1,NA
193,1,3,1,1,1,2,1,NA
194,2,1,2,2,1,2,2,NA
195,1,1,1,2,1,2,1,NA
196,2,1,2,2,1,2,2,NA
197,1,3,1,1,3,2,1,NA
198,2,1,2,2,1,2,2,NA
199,2,1,2,2,1,2,2,NA
200,1,2,1,1,2,1,1,NA
201,1,2,1,0,2,0,1,NA
202,1,1,1,2,1,2,1,NA
203,2,1,2,2,1,2,2,NA
204,1,2,1,1,2,1,1,NA
205,1,1,1,1,1,2,2,NA
206,1,2,1,1,2,1,1,NA
207,2,1,2,2,1,2,2,NA
208,1,2,1,1,2,1,1,NA
209,1,2,1,1,2,1,1,NA
210,3,2,1,1,2,2,2,NA
211,2,1,2,1,1,1,2,NA
212,2,1,2,2,1,2,2,NA
213,1,2,1,1,2,1,1,NA
