,A,B,G,J,Q,R,Z,U
1,2,1,2,2,1,1,2,1
2,1,1,1,1,1,2,1,2
3,2,4,0,3,4,0,2,0
4,1,1,1,1,1,2,1,2
5,1,2,1,1,2,1,1,3
6,1,1,1,1,1,2,1,2
7,1,1,1,1,1,2,1,2
8,2,2,2,2,2,1,2,1
9,1,2,1,1,2,1,1,1
10,1,2,1,1,2,1,1,1
11,1,2,1,1,2,2,1,1
12,2,1,2,2,1,2,2,2
13,2,2,2,2,2,1,2,1
14,0,1,0,0,1,1,0,1
15,0,1,0,0,1,1,0,1
16,1,3,1,1,3,2,1,1
17,1,1,1,1,1,2,1,2
18,1,3,1,1,3,2,1,2
19,0,0,0,0,0,2,0,2
20,2,1,2,2,1,2,2,2
21,1,1,1,1,1,2,1,2
22,0,1,0,0,1,0,0,0
23,1,2,1,1,3,1,1,1
24,2,2,2,2,2,1,2,1
25,2,1,2,2,1,2,2,2
26,1,1,1,1,1,2,1,2
27,0,0,0,0,0,2,0,2
28,1,1,1,1,1,2,1,2
29,1,1,1,1,1,2,1,2
30,1,1,1,1,1,2,1,2
31,2,1,2,2,1,2,2,2
32,1,1,1,1,1,2,1,2
33,1,1,1,1,1,2,1,2
34,0,1,0,0,1,1,0,1
35,2,0,2,2,0,0,2,0
36,0,1,0,0,1,1,0,1
37,3,2,3,1,2,3,3,3
38,2,0,2,2,0,2,2,2
39,1,1,2,1,1,3,1,3
40,1,1,1,1,1,2,1,2
41,2,1,2,2,1,2,2,2
42,2,1,2,2,1,2,2,2
43,2,1,2,2,1,1,2,1
44,2,2,2,2,2,1,2,1
45,2,1,2,1,0,1,2,1
46,0,0,0,0,0,2,0,2
47,2,1,2,2,1,2,2,2
48,1,1,1,1,1,2,1,2
49,3,1,3,3,1,2,3,2
50,1,2,1,1,2,2,1,2
51,2,1,2,2,1,2,2,2
52,2,1,2,2,1,2,2,2
53,0,0,0,0,0,1,0,1
54,2,1,2,2,1,2,2,NA
55,1,0,1,1,0,3,1,NA
56,2,1,1,2,1,1,2,NA
57,2,1,2,2,1,2,2,NA
58,1,2,1,1,2,2,1,NA
59,2,1,2,0,1,1,2,NA
60,2,1,1,1,1,NA,2,NA
61,2,1,2,2,1,2,2,NA
62,2,1,2,2,1,3,2,NA
63,2,1,2,2,1,3,2,NA
64,2,2,2,2,3,1,2,NA
65,2,1,2,1,1,1,2,NA
66,2,1,2,2,1,2,2,NA
67,2,1,2,2,1,2,2,NA
68,2,1,2,2,1,1,2,NA
69,1,2,1,1,2,2,1,NA
70,1,2,1,1,2,3,1,NA
71,1,1,1,2,1,1,2,NA
72,1,2,1,1,3,2,1,NA
73,0,1,0,0,1,0,0,NA
74,2,1,1,1,1,1,2,NA
75,2,1,2,2,1,1,2,NA
76,1,3,2,1,3,1,1,NA
77,2,1,2,2,1,2,2,NA
78,2,1,2,2,1,2,2,NA
79,0,1,0,0,1,3,0,NA
80,2,1,2,2,1,1,2,NA
