0,A,B,G,J,Q,R,Z
1,2,1,2,1,1,1,1
2,2,1,2,2,1,2,2
4,2,1,2,2,1,1,2
7,1,2,1,1,2,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1
12,1,2,1,1,2,2,1
13,1,2,3,3,3,3,3
14,2,1,2,1,3,2,2
15,1,2,1,1,2,1,1
16,2,1,1,2,1,2,2
17,1,2,1,1,2,2,1
20,1,1,1,1,1,1,1
21,2,1,2,2,1,2,2
26,1,2,1,2,2,3,2
27,1,2,1,1,3,2,1
28,2,3,2,2,1,1,2
31,1,3,1,1,3,4,1
33,2,2,2,2,2,2,2
35,2,2,2,2,2,2,2
37,1,3,1,1,3,2,1
38,1,2,2,0,0,2,2
41,1,2,1,1,3,1,1
42,2,1,2,2,1,2,2
47,3,1,3,3,2,2,3
49,2,2,2,2,2,2,2
51,1,1,1,1,1,1,1
53,1,1,1,2,0,1,1
54,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1
59,3,3,3,3,3,2,1
63,1,1,2,1,1,3,1
64,1,1,1,1,1,1,1
67,4,1,4,2,3,4,4
71,1,2,1,1,2,1,1
72,2,1,2,2,1,1,2
73,2,1,2,2,1,2,2
78,1,1,2,1,2,1,1
79,2,3,2,2,2,1,2
81,2,1,2,2,1,2,2
82,1,1,1,1,1,1,1
83,2,1,2,2,1,2,2
85,3,1,3,3,1,2,3
86,1,2,1,1,2,2,1
92,2,1,2,2,1,2,2
94,2,1,2,2,1,2,2
101,1,1,0,1,1,2,1
102,1,1,1,1,3,2,1
104,3,2,3,3,2,1,3
106,1,1,1,1,2,2,1
109,3,1,1,1,2,1,1
111,2,1,2,2,1,NA,2
112,1,1,1,2,1,NA,1
113,4,2,4,4,3,NA,1
114,2,1,2,2,1,2,2
115,4,1,2,2,1,3,4
116,1,2,1,1,2,1,1
117,2,1,2,2,1,3,2
118,2,1,2,2,1,1,2
123,2,3,2,2,1,3,2
124,2,1,2,1,1,1,2
125,2,1,2,2,1,2,2
126,1,2,1,1,2,2,1
128,1,2,1,1,2,0,1
131,2,1,2,2,1,2,2
132,2,1,2,2,1,2,2
134,2,1,2,2,1,1,2
135,1,2,1,1,2,2,1
136,2,1,0,2,0,2,2
137,1,2,1,1,0,1,1
138,3,3,2,2,1,4,2
140,2,1,2,2,1,1,2
141,1,3,2,1,3,1,1
144,2,1,2,2,1,2,2
145,2,1,2,2,1,2,2
146,2,3,3,2,2,1,3
147,0,1,1,1,0,2,1
148,2,2,2,2,0,1,2
152,2,2,2,2,1,1,2
155,2,1,2,2,1,1,2
157,2,1,3,3,1,1,2
160,1,1,2,1,1,2,1
161,3,3,3,1,3,2,3
162,2,1,2,2,1,1,2
163,2,1,2,2,1,2,2
164,2,1,2,2,1,2,2
166,2,1,2,2,1,2,2
167,3,1,3,3,1,3,3
169,3,1,3,3,1,2,3
174,2,1,2,2,0,2,2
182,2,2,2,0,1,3,2
185,2,1,2,2,1,2,2
186,2,1,2,2,1,1,2
188,2,2,2,1,2,1,2
191,2,2,2,2,1,3,2
192,1,2,0,1,2,1,1
193,1,2,1,1,2,1,1
198,2,3,1,3,3,3,2
199,1,2,1,1,2,1,1
200,1,3,2,1,3,1,1
201,1,2,1,1,2,1,1
202,1,2,1,1,2,1,1
205,2,1,2,2,1,1,2
208,2,3,2,3,3,1,3
209,2,1,2,2,1,2,2
210,2,2,2,1,2,1,2
212,2,1,2,2,1,2,2
213,2,1,2,2,1,2,2
214,1,2,1,1,2,1,1
215,1,2,1,1,2,3,1
219,2,1,2,2,1,2,2
225,1,2,1,1,2,1,1
226,2,1,2,2,1,2,2
228,1,2,1,1,2,0,1
234,3,3,3,1,2,3,3
235,1,1,1,1,3,2,1
240,5,1,5,2,3,4,5
244,3,3,2,1,3,3,3
246,3,3,3,2,3,1,3
247,2,1,2,2,1,2,2
248,3,2,3,3,1,3,3
251,2,2,3,2,1,2,2
252,1,1,2,1,1,2,1
253,1,2,1,1,0,1,1
259,2,1,2,2,1,2,2
261,2,1,2,2,1,2,2
262,1,2,1,1,2,1,1
263,2,1,2,2,1,2,2
264,2,2,2,2,3,3,1
266,2,2,1,3,0,2,2
268,2,2,2,2,1,3,2
272,1,2,2,1,1,3,1
282,1,1,1,3,2,3,1
286,1,3,1,1,3,2,1
287,2,3,1,1,4,1,2
288,1,0,2,1,0,1,1
289,2,1,2,2,1,2,2
291,1,2,1,1,2,1,1
292,2,1,2,2,1,2,2
296,0,2,0,0,1,0,0
297,0,1,0,0,2,0,0
298,0,2,0,0,1,0,0
299,0,2,0,0,1,0,0
300,0,2,0,0,1,0,0
301,0,2,0,0,1,0,0
302,0,1,0,0,2,0,0
303,0,1,0,0,2,0,0
304,0,2,0,0,1,0,0
305,0,2,0,0,1,0,0
306,0,2,0,0,1,0,0
307,0,1,0,0,2,0,0
308,0,1,0,0,2,0,0
309,0,2,0,0,1,0,0
310,0,2,0,0,1,0,0
311,0,2,0,0,1,0,0
312,0,1,0,0,2,0,0
313,0,1,0,0,2,0,0
314,0,2,0,0,1,0,0
315,4,4,4,4,1,2,3
316,3,1,1,1,1,2,1
317,2,1,2,2,1,1,2
318,2,1,2,2,1,2,2
319,2,2,2,2,0,1,2
320,2,2,0,2,2,1,2
322,2,1,2,2,1,2,2
323,2,0,1,2,0,2,2
324,1,0,2,1,0,1,1
325,2,0,1,2,0,2,2
326,2,2,2,2,1,1,2
330,2,1,2,2,1,2,2
331,1,1,1,2,1,2,1
332,4,1,4,2,3,2,0
334,2,1,2,2,1,2,2
335,1,1,3,3,2,1,1
337,2,1,1,2,1,2,2
340,3,2,1,3,2,4,3
344,1,2,1,1,2,1,1
345,2,3,2,2,1,2,2
347,2,2,NA,2,1,2,2
348,2,1,NA,2,2,2,2
349,1,2,NA,1,2,1,1
350,2,1,NA,1,1,1,2
351,1,2,NA,2,2,2,1
353,2,1,2,2,1,2,2
357,2,2,2,1,2,1,1
361,2,1,2,2,1,2,2
365,2,1,2,3,1,2,2
366,2,1,2,2,1,2,2
367,2,1,2,2,1,2,2
368,2,1,1,2,1,2,2
369,1,2,1,2,2,2,1
371,1,3,1,1,1,2,1
373,2,1,2,2,1,2,2
374,1,1,1,2,1,2,1
376,2,1,2,2,1,2,2
379,1,3,1,1,3,2,1
381,2,1,2,2,1,2,2
382,2,1,2,2,1,2,2
383,1,2,1,1,2,1,1
384,1,2,1,0,2,0,1
385,1,1,1,2,1,2,1
386,2,1,2,2,1,2,2
