,A,B,G,J,Q,R,Z
1,2,1,2,1,1,1,1
2,2,1,2,2,1,2,2
3,2,1,2,2,2,2,2
4,2,1,2,2,1,1,2
5,1,1,1,1,1,2,1
6,1,1,1,1,1,2,1
7,1,2,1,1,2,1,1
8,1,1,1,1,1,2,1
9,1,1,1,1,2,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1
12,1,2,1,1,2,2,1
13,1,2,3,3,3,3,3
14,2,1,2,1,3,2,2
15,1,2,1,1,2,1,1
16,2,1,1,2,1,2,2
17,1,2,1,1,2,2,1
18,2,2,2,2,2,1,2
19,2,2,2,2,1,2,2
20,1,1,1,1,1,1,1
21,2,1,2,2,1,2,2
22,1,1,1,1,2,1,1
23,1,1,1,1,1,2,1
24,1,1,1,1,1,2,1
25,2,2,2,2,2,1,2
26,1,2,1,2,2,3,2
27,1,2,1,1,3,2,1
28,2,3,2,2,1,1,2
29,2,1,1,1,1,1,1
30,1,2,1,1,1,1,1
31,1,3,1,1,3,4,1
32,2,2,2,2,1,2,2
33,2,2,2,2,2,2,2
34,1,1,1,1,1,2,1
35,2,2,2,2,2,2,2
36,2,2,2,2,1,2,2
37,1,3,1,1,3,2,1
38,1,2,2,0,0,2,2
39,2,2,2,2,1,2,2
40,1,1,1,1,1,2,1
41,1,2,1,1,3,1,1
42,2,1,2,2,1,2,2
43,1,1,1,2,1,1,1
44,1,1,1,1,1,2,1
45,2,2,2,2,1,2,2
46,1,1,1,1,1,2,1
47,3,1,3,3,2,2,3
48,1,1,1,1,1,2,1
49,2,2,2,2,2,2,2
50,1,1,2,1,1,1,1
51,1,1,1,1,1,1,1
52,1,1,1,1,1,2,1
53,1,1,1,2,0,1,1
54,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1
56,1,1,1,2,1,1,1
57,2,2,2,2,1,2,2
58,1,1,1,1,1,2,1
59,3,3,3,3,3,2,1
60,2,2,2,2,2,1,2
61,2,1,1,1,1,1,1
62,2,2,2,2,1,2,2
63,1,1,2,1,1,3,1
64,1,1,1,1,1,1,1
65,2,2,2,2,2,1,2
66,1,1,1,1,1,2,1
67,4,1,4,2,3,4,4
68,2,2,2,2,1,2,2
69,2,2,2,2,1,2,2
70,1,1,1,1,1,2,1
71,1,2,1,1,2,1,1
72,2,1,2,2,1,1,2
73,2,1,2,2,1,2,2
74,2,2,2,2,1,2,2
75,1,1,2,1,1,1,1
76,2,2,2,2,2,1,2
77,2,2,2,2,1,2,2
78,1,1,2,1,2,1,1
79,2,3,2,2,2,1,2
80,1,1,1,1,1,2,1
81,2,1,2,2,1,2,2
82,1,1,1,1,1,1,1
83,2,1,2,2,1,2,2
84,1,1,1,1,1,2,1
85,3,1,3,3,1,2,3
86,1,2,1,1,2,2,1
87,2,2,2,2,2,1,2
88,1,1,1,1,1,2,1
89,1,1,1,1,1,2,1
90,1,1,1,1,2,1,1
91,2,2,2,2,1,2,2
92,2,1,2,2,1,2,2
93,2,2,1,2,2,2,2
94,2,1,2,2,1,2,2
95,3,3,3,3,2,3,3
96,2,2,2,2,1,2,2
97,1,1,1,1,2,1,1
98,2,2,2,2,2,1,2
99,2,2,2,2,1,2,2
100,1,1,1,2,1,1,1
101,1,1,0,1,1,2,1
102,1,1,1,1,3,2,1
103,2,1,2,2,2,2,2
104,3,2,3,3,2,1,3
105,1,1,1,1,1,2,1
106,1,1,1,1,2,2,1
107,1,1,1,1,1,2,1
108,1,1,1,1,1,2,1
109,3,1,1,1,2,1,1
110,2,2,2,2,2,1,2
111,2,1,2,2,1,NA,2
112,1,1,1,2,1,NA,1
113,4,2,4,4,3,NA,1
114,2,1,2,2,1,2,2
115,4,1,2,2,1,3,4
116,1,2,1,1,2,1,1
117,2,1,2,2,1,3,2
118,2,1,2,2,1,1,2
119,2,2,2,2,2,1,2
120,2,2,2,2,1,2,2
121,1,1,1,2,1,1,1
122,2,2,2,2,1,2,2
123,2,3,2,2,1,3,2
124,2,1,2,1,1,1,2
125,2,1,2,2,1,2,2
126,1,2,1,1,2,2,1
127,2,1,2,2,2,2,2
128,1,2,1,1,2,0,1
129,1,1,1,1,1,2,1
130,2,2,2,2,2,1,2
131,2,1,2,2,1,2,2
132,2,1,2,2,1,2,2
133,2,2,2,2,1,2,2
134,2,1,2,2,1,1,2
135,1,2,1,1,2,2,1
136,2,1,0,2,0,2,2
137,1,2,1,1,0,1,1
138,3,3,2,2,1,4,2
139,1,1,1,1,1,2,1
140,2,1,2,2,1,1,2
141,1,3,2,1,3,1,1
142,2,2,2,2,1,2,2
143,1,1,1,1,1,2,1
144,2,1,2,2,1,2,2
145,2,1,2,2,1,2,2
146,2,3,3,2,2,1,3
147,0,1,1,1,0,2,1
148,2,2,2,2,0,1,2
149,1,1,1,1,1,2,1
150,1,1,1,1,1,2,1
151,2,2,2,2,1,2,2
152,2,2,2,2,1,1,2
153,2,2,2,2,1,2,2
154,2,2,2,2,2,1,2
155,2,1,2,2,1,1,2
156,1,1,1,1,1,2,1
157,2,1,3,3,1,1,2
158,2,2,2,2,1,2,2
159,2,2,2,2,1,2,2
160,1,1,2,1,1,2,1
161,3,3,3,1,3,2,3
162,2,1,2,2,1,1,2
163,2,1,2,2,1,2,2
164,2,1,2,2,1,2,2
165,2,2,2,2,1,2,2
166,2,1,2,2,1,2,2
167,3,1,3,3,1,3,3
168,1,1,1,1,1,2,1
169,3,1,3,3,1,2,3
170,1,1,1,1,1,2,1
171,1,1,1,1,1,2,1
172,1,1,1,1,1,2,1
173,2,2,2,2,1,2,2
174,2,1,2,2,0,2,2
175,1,2,1,1,1,1,1
176,1,1,1,1,1,2,1
177,1,1,1,1,2,1,1
178,1,1,1,1,1,2,1
179,1,1,1,1,1,2,1
180,1,1,1,1,1,2,1
181,1,1,1,1,1,2,1
182,2,2,2,0,1,3,2
183,2,1,2,2,2,2,2
184,1,1,1,1,1,2,1
185,2,1,2,2,1,2,2
186,2,1,2,2,1,1,2
187,2,2,2,2,2,1,2
188,2,2,2,1,2,1,2
189,1,1,1,1,1,2,1
190,1,1,1,1,1,2,1
191,2,2,2,2,1,3,2
192,1,2,0,1,2,1,1
193,1,2,1,1,2,1,1
194,1,1,1,1,1,2,1
195,1,1,1,1,1,2,1
196,1,1,2,1,1,1,1
197,2,2,2,2,1,2,2
198,2,3,1,3,3,3,2
199,1,2,1,1,2,1,1
200,1,3,2,1,3,1,1
201,1,2,1,1,2,1,1
202,1,2,1,1,2,1,1
203,2,2,2,2,1,2,2
