.Ca .ca RG 0.461185
los el DA0MP0 0.964169

.E .e RG 0.121654
poꝛ poꝛ AQ0CS00 0.0305452
auentura aventura NCFS000 0.916667

Ca ca CS 0.982082
la el DA0FS0 0.897854

Ca ca CS 0.982082
la el DA0FS0 0.897854

Ca ca CS 0.982082
los el DA0MP0 0.964169

Ca ca CS 0.982082
los el DA0MP0 0.964169

Ca ca CS 0.982082
los el DA0MP0 0.964169

Ca ca CS 0.982082
los el DA0MP0 0.964169

Ca ca CS 0.982082
los el DA0MP0 0.964169

Ca ca CS 0.982082
ninguno ninguno PI0MS000 0.66129

Ca ca CS 0.982082
pueſto pueſto RG 0.142356

Ca ca CS 0.982082
ſabian ſabian VMII3P0 1

Ca ca CS 0.982082
ſegunt ſegunt AQ0CS00 0.74026

Ca ca CS 0.982082
ſi ſi RG 0.913525

Ca ca CS 0.982082
ꝺezia ꝺezia VMII3S0 0.666769

De de SPS00 0.999758
la el DA0FS0 0.897854

E e CC 1
a a SPS00 0.956937
las el DA0FP0 0.860393

E e CC 1
agoꝛa agoꝛa VMII3S0 0.124879

E e CC 1
al al_a+al_el SP+DA 0.915677

E e CC 1
alli allí RG 1

E e CC 1
alli allí RG 1

E e CC 1
alli allí RG 1

E e CC 1
antiguamente antiguamente RG 1

E e CC 1
aquel aquel DD0MS0 0.849576

E e CC 1
aqui aquí RG 1

E e CC 1
aun aun RG 1

E e CC 1
aun aun RG 1

E e CC 1
aun aun RG 1
q̅ q̅ VMIS3S0 0.0525441

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
aſi aſi RG 0.913525

E e CC 1
el el DA0MS0 0.880831
maeſtro maeſtro NCMS000 0.143843

E e CC 1
el el DA0MS0 0.880831
rey rey NCMS000 1

E e CC 1
el el DA0MS0 0.880831
rey rey NCMS000 1

E e CC 1
ellos ellos PP3MP000 1

E e CC 1
en en SPS00 1
la el DA0FS0 0.897854

E e CC 1
en en SPS00 1
las el DA0FP0 0.860393

E e CC 1
en en SPS00 1
qual cuál DT0CS0 1

E e CC 1
eſto eſto RG 0.142356

E e CC 1
eſto eſto RG 0.142356

E e CC 1
eſto eſto RG 0.142356

E e CC 1
eſtonçe eſtonçe RG 0.8

