Conuiene convenir VMIP3S0 1
nos me PP1CP000 0.5

E e CC 1
aun aun RG 1
q̅ q̅ VMIS3S0 0.0525441

E e CC 1
l le PP3CSD00 0.0902443


E e CC 1
reſpȯ reſpȯ VMIS3S0 0.0525441

a a SPS00 0.956937
ellos ellos PP3MP000 1

a a SPS00 0.956937
las el DA0FP0 0.860393

a a SPS00 0.956937
las el DA0FP0 0.860393

a a SPS00 0.956937
las el DA0FP0 0.860393

a a SPS00 0.956937
los el DA0MP0 0.964169

a a SPS00 0.956937
mayoꝛ mayoꝛ NCMS000 0.175279

a a SPS00 0.956937
penas penar VMIP2S0 0.916667

a a SPS00 0.956937
q̅ q̅ NCMS000 0.175279

a a SPS00 0.956937
tomar tomar VMN0000 1
le le PP3CSD00 1

a a SPS00 0.956937
vana vano AQ0FS0 1
gloꝛia gloꝛia NCFS000 0.485606

acometer acometer VMN0000 1
los el DA0MP0 0.964169

acometie acometie VMII3S0 0.755487
ſen ſen RG 0.315735

ale ale_a+ale_le SP+PP 0.704537
xanꝺꝛe.E xanꝺꝛe.e NCMS000 0.219365
començo comenzar VMIS3S0 0.181337

amoneſtar amoneſtar VMN0000 0.944436
los el DA0MP0 0.964169

antigua antiguo AQ0FS0 1
mente mente NCFS000 0.794118

aron aarón NP000P0 1
los el DA0MP0 0.964169

aun aun RG 1
q̅ q̅ VMIS3S0 0.0525441
las el DA0FP0 0.860393

aſerrar aſerrar VMN0000 1
los el DA0MP0 0.964169

bꝛe bꝛe RG 0.121654
ꝺichas ꝺichas AQ0FP00 0.333258

bꝛe bꝛe RG 0.121654
ꝺichas ꝺichas AQ0FP00 0.333258

bꝛe bꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

bꝛe bꝛe RG 0.121654
ꝺicho ꝺicho VMP00SM 0.759986

bꝛe bꝛe RG 0.121654
ꝺicho. ꝺicho. VMIS3S0 0.0525441

can can NCMS000 1
ſaꝺo ſaꝺo VMIS3S0 0.23743

con con SPS00 1
el el DA0MS0 0.880831

conoſçen conoſçen VMIP3P0 1
los el DA0MP0 0.964169

conoſçer conoſçer VMN0000 1
los el DA0MP0 0.964169

conponen componer VMIP3P0 1
ſe ſe RG 0.121654

contra contra SPS00 0.982979
peſo peſo NCMS000 0.40787

cȯ cȯ RG 0.10762
q̇ q̇ VMIS3S0 0.0525441

coꝛtaꝺ coꝛtaꝺ RG 0.10762
leꝫ leꝫ VMIS3S0 0.0525441

echanꝺo echanꝺo RG 0.0694316
les le PP3CPD00 1

echanꝺo echanꝺo VMIS3S0 0.23743
los el DA0MP0 0.964169

en en SPS00 1
canpo campo NCMS000 1

en en SPS00 1
el el DA0MS0 0.880831

en en SPS00 1
ella él PP3FS000 1

en en SPS00 1
la el DA0FS0 0.897854

en en SPS00 1
la el DA0FS0 0.897854

en en SPS00 1
la el DA0FS0 0.897854

en en SPS00 1
nobleſçiꝺo nobleſçiꝺo NCMS000 0.40787

en en SPS00 1
qual cuál DT0CS0 1
quier querer VMSP1S0 0.499006

en en SPS00 1
toꝺas toꝺas NCFP000 0.54149

enbiaron enviar VMIS3P0 1
